year_month,type,units_sum,cart_sum,units_na_cart,mL_sum
2022-08,Disposable,813366,813885,0,1830045.2892224996
2022-08,Open refill,2,2,0,15.9937645
2022-09,Closed pod,2765374,8515910,0,10844325.9432905
2022-09,Disposable,800025,800394,0,1742085.2864229996
2022-09,Open refill,2,2,0,4.7369235
2022-10,Closed pod,3351720,10311301,0,13162238.696132505
2022-10,Disposable,952874,953133,0,2066154.9599379993
2022-10,Open refill,3,3,0,44.9812935
2022-11,Closed pod,2645159,8134655,0,10390840.9519395
2022-11,Disposable,727277,727419,0,1569615.5844289998
2022-11,Open refill,5,5,0,64.9729795
2022-12,Closed pod,3277633,10089914,0,12927827.941188004
2022-12,Disposable,888640,888739,0,1914928.7371209995
2022-12,Open refill,3,3,0,20.9676115
2023-01,Closed pod,2557326,7889474,0,10305079.368652
2023-01,Disposable,614585,614634,0,1336521.1292769997
2023-01,Open refill,1,1,0,14.9937645
2023-02,Closed pod,2537505,7850453,0,10288999.2460045
2023-02,Disposable,611031,611112,0,1374590.3194654998
2023-03,Closed pod,2519773,7823785,0,10271184.7815865
2023-03,Disposable,648562,648599,0,1451311.4666339997
2023-04,Closed pod,3115373,9647120,0,12642545.972007003
2023-04,Disposable,801150,801189,0,1811321.1054184993
2023-04,Open refill,2,2,0,19.991686
2023-05,Closed pod,2461160,7641954,0,10085545.805742
2023-05,Disposable,703966,704020,0,1562811.8480609995
2023-05,Open refill,1,1,0,9.995843
2023-06,Closed pod,2405554,7503399,0,9961884.34598
2023-06,Disposable,770563,772588,0,1757827.0296309995
2023-06,Open refill,9,9,0,134.9438805
2023-07,Closed pod,2969322,9271080,0,12316475.980819004
2023-07,Disposable,1084894,1091944,0,2757748.609833999
2023-08,Closed pod,2330621,7306604,0,9678891.965666
2023-08,Disposable,899923,904909,0,2414564.870088999
2023-08,Open refill,2,2,0,12.9827665
2023-09,Closed pod,2814798,8837887,0,11736477.758746503
2023-09,Disposable,1161050,1166562,0,3352210.737831499
2023-09,Open refill,1,1,0,1.75
2023-10,Closed pod,2223418,6990161,0,9284297.089982
2023-10,Disposable,837271,841309,0,2683708.300196999
2023-10,Open refill,1,1,0,9.995843
2023-11,Closed pod,2228648,6988553,0,9339806.9791935
2023-11,Disposable,813908,817952,0,2697837.574287999
2023-12,Closed pod,2817897,8800283,0,11834298.287277503
2023-12,Disposable,1021853,1027437,0,3442406.493313999
